,lokasi,harga,kamar,luas_bangunan,luas_lahan,longitude,latitude
516,Ngaliyan,625000000.0,2,90,90,110.32811600554784,-6.99605755
517,Ngaliyan,1300000000.0,3,130,190,110.32811600554784,-6.99605755
518,Meteseh,290000000.0,2,42,108,110.46683,-7.0627334
520,Ngaliyan,650000000.0,2,50,120,110.32811600554784,-6.99605755
521,Pedurungan,600000000.0,3,80,116,110.4738378,-7.0027211
522,Ngaliyan,1400000000.0,3,54,120,110.32811600554784,-6.99605755
523,Banyumanik,1200000000.0,4,95,145,110.42012735052951,-7.06802325
524,Ngaliyan,525000000.0,3,70,90,110.32811600554784,-6.99605755
525,Tembalang,200000000.0,2,36,73,110.45952907126915,-7.04583375
527,Ngaliyan,825000000.0,3,72,144,110.32811600554784,-6.99605755
528,Banyumanik,1200000000.0,2,75,120,110.42012735052951,-7.06802325
529,Ngaliyan,2000000000.0,4,250,160,110.32811600554784,-6.99605755
531,Pedurungan,329000000.0,2,40,60,110.47735690000002,-7.0176717
532,KembangSari,750000000.0,2,72,72,110.4189596,-6.978327900000001
534,Tlogomulyo,499000000.0,2,49,72,110.48109050000001,-6.9942871
535,Semarang,450000000.0,3,100,80,110.4229104,-6.9903987999999995
536,Semarang,1300000000.0,3,76,126,110.4229104,-6.9903987999999995
537,Manyaran,585000000.0,2,46,141,110.3854405,-7.0027694
538,Tembalang,635000000.0,3,70,132,110.45952907126915,-7.04583375
539,Pamularsih,550000000.0,3,110,93,110.3984635,-6.9941508
540,Sendangmulyo,400000000.0,2,65,95,110.4749403,-7.0405218
541,Semarang,1850000000.0,5,135,158,110.4229104,-6.9903987999999995
542,Banyumanik,270000000.0,2,66,38,110.42012735052951,-7.06802325
543,Ngaliyan,1250000000.0,3,108,137,110.32811600554784,-6.99605755
544,Banyumanik,1600000000.0,2,82,112,110.42012735052951,-7.06802325
545,Genuk,350000000.0,2,36,72,110.47772717287395,-6.9655030500000015
546,Semarang,2400000000.0,5,208,234,110.4229104,-6.9903987999999995
547,Banyumanik,1100000000.0,3,107,84,110.42012735052951,-7.06802325
550,Banyumanik,321800000.0,2,42,64,110.42012735052951,-7.06802325
551,Banyumanik,925000000.0,4,200,184,110.42012735052951,-7.06802325
553,Banyumanik,600000000.0,2,50,90,110.42012735052951,-7.06802325
555,Tlogosari,1000000000.0,4,120,120,110.4595685,-6.9839788
556,Pudakpayung,575000000.0,2,48,72,110.4096871,-7.094523
559,Banyumanik,280000000.0,2,36,66,110.42012735052951,-7.06802325
560,Semarang,1500000000.0,4,200,200,110.4229104,-6.9903987999999995
561,Gunungpati,350000000.0,2,36,120,110.3545706,-7.092623700000001
564,Gunungpati,320000000.0,2,42,128,110.3545706,-7.092623700000001
565,Genuk,2150000000.0,5,180,240,110.47772717287395,-6.9655030500000015
566,Sendangmulyo,350000000.0,3,90,90,110.4749403,-7.0405218
567,Manyaran,450000000.0,2,36,123,110.3854405,-7.0027694
568,Ngaliyan,701470000.0,2,55,120,110.32811600554784,-6.99605755
569,Tembalang,635000000.0,3,70,128,110.45952907126915,-7.04583375
570,Gayamsari,450000000.0,2,53,63,110.44646192711384,-6.9777875
571,Tembalang,390000000.0,2,72,72,110.45952907126915,-7.04583375
573,Tembalang,250000000.0,2,36,67,110.45952907126915,-7.04583375
574,Banyumanik,450000000.0,2,45,90,110.42012735052951,-7.06802325
575,Rowosari,265000000.0,2,38,72,110.48089909999999,-7.0696031
577,Tembalang,271034400.0,2,38,128,110.45952907126915,-7.04583375
578,Pedurungan,375000000.0,2,40,75,110.4738378,-7.0027211
579,Tembalang,450000000.0,2,90,90,110.45952907126915,-7.04583375
580,Ngaliyan,385000000.0,2,38,120,110.32811600554784,-6.99605755
581,Tembalang,635000000.0,3,70,132,110.45952907126915,-7.04583375
582,Semarang,1300000000.0,3,76,126,110.4229104,-6.9903987999999995
583,Manyaran,585000000.0,2,46,141,110.3854405,-7.0027694
584,Semarang,295000000.0,1,60,60,110.4229104,-6.9903987999999995
585,Banyumanik,189000000.0,2,38,60,110.42012735052951,-7.06802325
588,Sendangmulyo,400000000.0,2,65,95,110.4749403,-7.0405218
589,Ngaliyan,1250000000.0,3,108,137,110.32811600554784,-6.99605755
590,Gayamsari,550000000.0,2,45,70,110.44646192711384,-6.9777875
592,Sendangmulyo,375000000.0,2,36,84,110.4749403,-7.0405218
593,Banyumanik,487000000.0,2,45,84,110.42012735052951,-7.06802325
595,Candisari,1400000000.0,3,155,125,110.4308380541579,-7.01431585
596,Krobokan,1200000000.0,4,160,200,110.3983189,-6.976250299999999
597,Banyumanik,325000000.0,2,40,80,110.42012735052951,-7.06802325
598,Banyumanik,375000000.0,2,36,90,110.42012735052951,-7.06802325
600,Sambiroto,750000000.0,2,45,145,110.45565500000001,-7.0324677
601,Panggung,650000000.0,3,120,120,110.4050445,-6.958015299999999
603,Sambiroto,1200000000.0,3,126,126,110.45565500000001,-7.0324677
604,Sadeng,3500000000.0,4,250,249,110.36805729999999,-7.030763
605,Pedurungan,1000000000.0,6,300,220,110.4738378,-7.0027211
606,Semarang,250000000.0,2,70,99,110.4229104,-6.9903987999999995
607,Banyumanik,800000000.0,3,70,90,110.42012735052951,-7.06802325
609,Pamularsih,550000000.0,3,110,93,110.3984635,-6.9941508
611,Banyumanik,1600000000.0,2,82,112,110.42012735052951,-7.06802325
612,Genuk,350000000.0,2,36,72,110.47772717287395,-6.9655030500000015
613,Semarang,2400000000.0,5,208,234,110.4229104,-6.9903987999999995
614,Banyumanik,1100000000.0,3,107,84,110.42012735052951,-7.06802325
615,Banyumanik,270000000.0,2,66,38,110.42012735052951,-7.06802325
